MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09791646323278762,0.0,0.0,-0.0,-0.0,0.0,0.8181700935551651,0.059106996334724805,-5.969019934054964e-06,0.3805798045990311
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17757418846785442,0.0,0.0,-0.0,-0.0,0.0,1.2146327205555583,0.1480494611530859,0.024821604530252016,0.58944092333676
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13703232193027576,0.0,0.0,-0.0,-0.0,0.0,1.024998500824915,0.1166246165118009,0.005627111931457096,0.5063691720749814
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14725354280009514,0.0,0.0,-0.0,-0.0,0.0,1.1935695300128257,0.14619231036398925,0.014171077785117833,0.5900999627543567
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18211381017047487,0.0,0.0,-0.0,-0.0,0.0,1.3717202079274344,0.01796267646179858,0.0042453074524843185,0.6758971732052941
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1160221063624199,0.0,0.0,-0.0,-0.0,0.0,1.130060288053166,0.10110074068499258,-0.016267313753950276,0.5652078364065609
-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08459512389605735,-0.0,-0.0,0.0,0.0,0.0,0.3011290257848973,0.039719721819089567,-0.09889137439454332,0.07999526366930926
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10329544590869942,-0.0,-0.0,0.0,0.0,0.0,-0.17307085153981047,-0.03788468979698176,-0.04931690684060566,-0.043770961856425386
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.02310959136139809,-0.0,0.0,-0.0,0.0,0.0,0.4096141618212729,0.11325929533669461,0.005091707561903467,0.12306294388644046
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06744063974605596,0.0,-0.0,-0.0,0.0,0.0,0.766748671917075,0.11139895513313743,0.026542431455706523,0.19940704667249531
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0017827679970702749,-0.0,0.0,-0.0,0.0,0.0,0.5980761139767337,0.1796072322185518,0.02167417798430467,0.15942963470288055
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209193063553882,0.0,0.0,-0.0,0.0,0.0,0.8020235537751615,0.15081970045047763,0.06477162813897287,0.20744607364187256
-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14078741396666278,-0.0,-0.0,0.0,-0.0,-0.007387334370656518,-0.5583727925781944,-0.10178058714893173,-0.04980199152389592,-0.1363006960338745
-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012224060364657655,-0.0,-0.0,0.0,-0.0,-0.00551615110274739,0.2714294714829814,0.04881741908334327,0.03934612914323763,0.055423201137769565
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11567022967097547,-0.0,-0.0,0.0,-0.0,-0.006679641367714744,-0.1125032408985762,-0.02684711317413472,-0.03265173260886215,-0.028925593728680324
-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09114613959371982,-0.0,-0.0,0.0,0.0,-0.006263954264747419,0.5169294198662089,-0.017219547241731595,-0.017015619686053633,0.13909099976999426
-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02827538573092858,-0.0,0.0,-0.0,0.0,-0.007599612706311242,0.4427006940376321,0.026377172402259758,-0.005841356125532271,0.10115029636527015
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703961769290167,0.0,0.0,-0.0,0.0,-0.01147019378005281,1.8700755649011298,0.31314362723082895,0.11435172749956281,0.45676952485525435
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24976034975931657,0.0,0.0,-0.0,0.0,-0.0,1.304271515205126,0.17856137901952793,0.11028348059570285,0.4892903445837759
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875420036735605,0.0,0.0,-0.0,0.0,-0.0,0.9737924502281678,0.15493070345018065,0.08055129638294595,0.3854062937322506
0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174511990329553,0.0,0.0,-0.0,0.0,-0.0,1.228181729454063,0.05127839236799598,0.06586651582182168,0.46804342296383966
0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.19794249126987332,0.0,0.0,-0.0,0.0,-0.0,0.5760743072856902,0.017967874110357294,0.04169745420129414,0.24440091675917733
0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1843456609358331,0.0,0.0,-0.0,0.0,-0.0,1.1008083968934455,0.05103799892375031,0.08786460646571766,0.30676783970695437
0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1590552999809402,0.0,0.0,-0.0,0.0,-0.0,0.5336862757787412,-0.018549225589691378,0.04031749060314866,0.22854318558950293
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.022508531918333848,-0.0,0.0,0.0,-0.0,0.0,0.3955555038289077,-0.000499983110420668,0.055050262523392166,0.07135591791265299
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07323469764700342,0.0,0.0,-0.0,0.0,0.0,0.3820124786271913,0.00836943034461135,0.07411669355331577,0.07806007765256506
0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.000598187273162932,-0.0,0.0,0.0,-0.0,0.0,-0.2539333139803353,0.0024937147969722115,0.04176506490041826,-0.08555518515905045
-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0019734994398324444,-0.0,0.0,0.0,-0.0,0.0,-0.3568958993766856,-0.014272771478730737,0.0032603697936897055,-0.04423547050822568
0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011763014580820075,-0.0,-0.0,0.0,-0.0,-0.0,-1.5686113336875362,0.032225668902855706,-0.007631089314745795,-0.21139184127579758
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.003513314345509885,-0.0,0.0,0.0,-0.0,0.0,-0.8214233671968322,-0.006625173483675883,-0.05396673631239641,-0.12093038678415823
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19274463996816785,-0.0,-0.0,0.0,-0.0,0.0,-1.8721935647208328,-0.08003472859359397,-0.05854835842465301,-0.3660480322507281
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20388116215758476,-0.0,-0.0,0.0,-0.0,0.0,-2.645133416642985,-0.08718374982699716,-0.020535525148840987,-0.46852388843332127
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15565222388295621,-0.0,-0.0,0.0,-0.0,0.0,-1.3787717821683971,-0.08403831562647807,-0.08746533421496057,-0.3115325533195235
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2165246560844197,-0.0,-0.0,0.0,-0.0,0.0,-2.6815612092875045,-0.0783640334140486,-0.0831719931326532,-0.560178555319267
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2144157112664476,-0.0,-0.0,0.0,-0.0,0.0,-3.592549426174872,-0.10373866667183454,-0.09977289500670307,-0.6668121562281487
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1542832160353158,-0.0,-0.0,0.0,-0.0,0.0,-2.922668350368469,-0.09248132321734512,0.010204610728332378,-0.5482808942916756
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05712691625408251,-0.0,-0.0,0.0,-0.0,0.0,-0.2472673781153367,-0.008032532771520056,0.0,-0.04620526123521403
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08308497250667725,-0.0,-0.0,0.0,-0.0,0.0,-0.10171420506051064,-0.04129200611502437,0.0,-0.028225128768963822
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1581007778700069,-0.0,-0.0,0.0,-0.0,0.0,-0.580549006067621,-0.016848611208321727,-0.0,-0.1103717765573605
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1122139622952683,-0.0,-0.0,0.0,-0.0,0.0,-0.10194519964102088,0.0669647703853572,0.0,-0.05917800765654085
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14629189149027194,-0.0,-0.0,0.0,-0.0,0.0,-0.8178674715193296,-0.034040194425062474,0.0,-0.1448180850197484
0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14602219258838037,-0.0,-0.0,0.0,-0.0,0.0,-1.3685405856080535,-0.2453973470306981,0.0,-0.19451537693432852
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08509799566196011,-0.0,-0.0,0.0,-0.0,-0.0,-1.5190025773064328,-0.14303187815788032,0.035229522859613435,-0.41687037958668227
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0692153792506512,-0.0,-0.0,0.0,-0.0,-0.0,-0.8584329232487886,-0.07613217355197957,-0.01362130678957284,-0.2870715965603457
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09991094882496329,-0.0,-0.0,0.0,-0.0,-0.0,-1.1737355603712003,-0.15093173928078854,0.009374656272451664,-0.4403305611664773
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1028869937485929,-0.0,-0.0,0.0,-0.0,-0.0,-1.0959591272500409,-0.13917732944237043,0.020020788054503854,-0.3691814067629932
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08284996251152342,-0.0,-0.0,0.0,-0.0,-0.0,-1.3021625660769904,-0.11049656943663023,0.027904966774271605,-0.4021595032127855
